#node	date	numeric date
NODE_0000001	2010-02-09	2010.109278
NODE_0000014	2012-01-30	2012.080488
person_15799|blah-blah-blah|2000-01-19	2018-01-01	2018.001370
person_813590|blah-blah-blah|2000-01-16	2015-01-01	2015.001370
person_213784|blah-blah-blah|2000-01-24	2023-01-01	2023.001370
NODE_0000017	2019-01-01	2019.001370
person_754429|blah-blah-blah|2000-01-20	2019-01-01	2019.001370
person_871367|blah-blah-blah|2000-01-23	2022-01-01	2022.001370
NODE_0000028	2016-01-01	2016.001366
person_535038|blah-blah-blah|2000-01-17	2016-01-01	2016.001366
NODE_0000029	2019-08-31	2019.663706
person_981765|blah-blah-blah|2000-01-24	2023-01-01	2023.001370
person_7957|blah-blah-blah|2000-01-23	2022-01-01	2022.001370
NODE_0000020	2013-01-01	2013.001370
person_364456|blah-blah-blah|2000-01-25	2024-01-01	2024.001366
person_522507|blah-blah-blah|2000-01-14	2013-01-01	2013.001370
person_472552|blah-blah-blah|2000-01-24	2023-01-01	2023.001370
NODE_0000022	2021-11-05	2021.845623
person_965600|blah-blah-blah|2000-01-24	2023-01-01	2023.001370
NODE_0000007	2021-12-01	2021.915326
person_98952|blah-blah-blah|2000-01-25	2024-01-01	2024.001366
person_462452|blah-blah-blah|2000-01-25	2024-01-01	2024.001366
NODE_0000009	2013-01-01	2013.001370
person_280648|blah-blah-blah|2000-01-14	2013-01-01	2013.001370
NODE_0000010	2018-10-30	2018.829291
person_822863|blah-blah-blah|2000-01-20	2019-01-01	2019.001370
person_840075|blah-blah-blah|2000-01-24	2023-01-01	2023.001370
NODE_0000000	2010-09-22	2010.725588
person_786298|blah-blah-blah|2000-01-22	2021-01-01	2021.001370
person_171645|blah-blah-blah|2000-01-25	2024-01-01	2024.001366
person_799180|blah-blah-blah|2000-01-20	2019-01-01	2019.001370
NODE_0000012	2013-06-08	2013.433923
person_746349|blah-blah-blah|2000-01-25	2024-01-01	2024.001366
person_480165|blah-blah-blah|2000-01-25	2024-01-01	2024.001366
NODE_0000003	2016-11-04	2016.843582
person_953612|blah-blah-blah|2000-01-23	2022-01-01	2022.001370
NODE_0000015	2020-10-01	2020.749746
person_93267|blah-blah-blah|2000-01-23	2022-01-01	2022.001370
person_135928|blah-blah-blah|2000-01-23	2022-01-01	2022.001370
NODE_0000008	2018-12-16	2018.956858
person_509765|blah-blah-blah|2000-01-25	2024-01-01	2024.001366
person_324506|blah-blah-blah|2000-01-21	2020-01-01	2020.001366
person_324826|blah-blah-blah|2000-01-22	2021-01-01	2021.001370
NODE_0000018	2011-01-01	2011.001370
person_248252|blah-blah-blah|2000-01-12	2011-01-01	2011.001370
NODE_0000019	2015-12-30	2015.994875
person_578731|blah-blah-blah|2000-01-22	2021-01-01	2021.001370
person_689243|blah-blah-blah|2000-01-17	2016-01-01	2016.001366
NODE_0000030	2012-02-26	2012.153667
person_27028|blah-blah-blah|2000-01-21	2020-01-01	2020.001366
NODE_0000032	2014-01-01	2014.001370
person_488679|blah-blah-blah|2000-01-15	2014-01-01	2014.001370
person_856099|blah-blah-blah|2000-01-24	2023-01-01	2023.001370
NODE_0000033	2016-11-16	2016.874886
person_10963|blah-blah-blah|2000-01-18	2017-01-01	2017.001370
person_593799|blah-blah-blah|2000-01-24	2023-01-01	2023.001370
NODE_0000042	2018-11-01	2018.834075
person_56483|blah-blah-blah|2000-01-20	2019-01-01	2019.001370
NODE_0000043	2021-12-01	2021.915326
person_656261|blah-blah-blah|2000-01-23	2022-01-01	2022.001370
person_634925|blah-blah-blah|2000-01-25	2024-01-01	2024.001366
NODE_0000044	2016-10-01	2016.750936
person_911143|blah-blah-blah|2000-01-23	2022-01-01	2022.001370
NODE_0000047	2019-08-31	2019.663706
person_286216|blah-blah-blah|2000-01-24	2023-01-01	2023.001370
person_876486|blah-blah-blah|2000-01-21	2020-01-01	2020.001366
NODE_0000027	2021-12-01	2021.915326
person_372430|blah-blah-blah|2000-01-25	2024-01-01	2024.001366
person_914428|blah-blah-blah|2000-01-25	2024-01-01	2024.001366
NODE_0000036	2014-08-15	2014.621842
person_455534|blah-blah-blah|2000-01-21	2020-01-01	2020.001366
person_655068|blah-blah-blah|2000-01-21	2020-01-01	2020.001366
NODE_0000040	2015-11-20	2015.885486
person_656939|blah-blah-blah|2000-01-18	2017-01-01	2017.001370
person_637165|blah-blah-blah|2000-01-22	2021-01-01	2021.001370
NODE_0000031	2018-01-01	2018.001370
person_57539|blah-blah-blah|2000-01-23	2022-01-01	2022.001370
person_888089|blah-blah-blah|2000-01-19	2018-01-01	2018.001370
