#node	date	numeric date
NODE_0000000	2002-09-18	2002.712564
NODE_0000002	2007-01-01	2007.001370
person_164473|blah-blah-blah|2000-01-08	2007-01-01	2007.001370
NODE_0000001	2014-12-31	2014.999642
person_452812|blah-blah-blah|2000-01-24	2023-01-01	2023.001370
person_212516|blah-blah-blah|2000-01-20	2019-01-01	2019.001370
person_160110|blah-blah-blah|2000-01-16	2015-01-01	2015.001370
person_324329|blah-blah-blah|2000-01-25	2024-01-01	2024.001366
NODE_0000014	2024-11-05	2024.846149
person_828697|blah-blah-blah|2000-01-26	2025-01-01	2025.001370
person_954009|blah-blah-blah|2000-01-26	2025-01-01	2025.001370
person_101069|blah-blah-blah|2000-01-26	2025-01-01	2025.001370
NODE_0000004	2025-11-28	2025.907407
person_129890|blah-blah-blah|2000-01-27	2026-01-01	2026.001370
person_51277|blah-blah-blah|2000-01-28	2027-01-01	2027.001370
NODE_0000018	2022-01-01	2022.001370
person_785897|blah-blah-blah|2000-01-23	2022-01-01	2022.001370
person_215533|blah-blah-blah|2000-01-26	2025-01-01	2025.001370
person_480466|blah-blah-blah|2000-01-30	2029-01-01	2029.001370
NODE_0000021	2026-12-16	2026.956810
person_249484|blah-blah-blah|2000-01-30	2029-01-01	2029.001370
NODE_0000008	2026-12-16	2026.957014
person_149530|blah-blah-blah|2000-01-30	2029-01-01	2029.001370
person_385108|blah-blah-blah|2000-01-29	2028-01-01	2028.001366
NODE_0000006	2016-12-01	2016.917726
NODE_0000007	2026-10-09	2026.770947
person_307252|blah-blah-blah|2000-01-30	2029-01-01	2029.001370
person_431450|blah-blah-blah|2000-01-28	2027-01-01	2027.001370
person_129588|blah-blah-blah|2000-01-30	2029-01-01	2029.001370
NODE_0000009	2020-01-01	2020.001366
person_445187|blah-blah-blah|2000-01-30	2029-01-01	2029.001370
person_201432|blah-blah-blah|2000-01-21	2020-01-01	2020.001366
person_462856|blah-blah-blah|2000-01-29	2028-01-01	2028.001366
person_122446|blah-blah-blah|2000-01-29	2028-01-01	2028.001366
person_10393|blah-blah-blah|2000-01-29	2028-01-01	2028.001366
NODE_0000023	2002-11-03	2002.840922
person_596066|blah-blah-blah|2000-01-04	2003-01-01	2003.001370
person_877277|blah-blah-blah|2000-01-15	2014-01-01	2014.001370
NODE_0000027	2011-01-01	2011.001370
person_840415|blah-blah-blah|2000-01-12	2011-01-01	2011.001370
person_659147|blah-blah-blah|2000-01-18	2017-01-01	2017.001370
NODE_0000029	2016-12-11	2016.943032
person_299317|blah-blah-blah|2000-01-29	2028-01-01	2028.001366
NODE_0000030	2020-01-01	2020.001366
person_824539|blah-blah-blah|2000-01-21	2020-01-01	2020.001366
person_562496|blah-blah-blah|2000-01-29	2028-01-01	2028.001366
NODE_0000031	2016-12-25	2016.982405
person_964970|blah-blah-blah|2000-01-20	2019-01-01	2019.001370
NODE_0000033	2021-01-01	2021.001370
person_717365|blah-blah-blah|2000-01-22	2021-01-01	2021.001370
person_346173|blah-blah-blah|2000-01-28	2027-01-01	2027.001370
NODE_0000034	2023-12-14	2023.951496
person_937537|blah-blah-blah|2000-01-25	2024-01-01	2024.001366
person_35976|blah-blah-blah|2000-01-28	2027-01-01	2027.001370
NODE_0000035	2016-01-01	2016.001366
person_804537|blah-blah-blah|2000-01-17	2016-01-01	2016.001366
person_271532|blah-blah-blah|2000-01-19	2018-01-01	2018.001370
NODE_0000037	2022-12-18	2022.963171
person_338811|blah-blah-blah|2000-01-30	2029-01-01	2029.001370
person_599444|blah-blah-blah|2000-01-28	2027-01-01	2027.001370
person_945865|blah-blah-blah|2000-01-29	2028-01-01	2028.001366
person_995983|blah-blah-blah|2000-01-29	2028-01-01	2028.001366
person_163745|blah-blah-blah|2000-01-26	2025-01-01	2025.001370
person_314132|blah-blah-blah|2000-01-29	2028-01-01	2028.001366
NODE_0000022	2025-11-08	2025.854249
person_388103|blah-blah-blah|2000-01-27	2026-01-01	2026.001370
NODE_0000024	2026-08-28	2026.655599
NODE_0000025	2026-11-28	2026.907403
person_655095|blah-blah-blah|2000-01-29	2028-01-01	2028.001366
person_494315|blah-blah-blah|2000-01-30	2029-01-01	2029.001370
NODE_0000026	2026-12-07	2026.933383
person_720192|blah-blah-blah|2000-01-28	2027-01-01	2027.001370
NODE_0000028	2026-12-07	2026.933383
person_988612|blah-blah-blah|2000-01-28	2027-01-01	2027.001370
person_554658|blah-blah-blah|2000-01-28	2027-01-01	2027.001370
